Open,High,Low,Close,Adj Close,Volume,Type
6.45,6.572,6.34,6.526,6.526,4166500,3
6.252,6.496,5.984,6.018,6.018,7763000,3
5.604,5.716,5.012,5.11,5.11,46509500,3
5.17,5.35,5,5.282,5.282,20281500,3
5.406,5.602,5.3,5.546,5.546,16596000,3
5.54,5.58,5.276,5.3,5.3,10205500,3
5.314,5.45,5.3,5.326,5.326,7089500,2
5.368,5.4,5.18,5.324,5.324,6415000,3
5.332,5.39,5.204,5.334,5.334,5937000,3
5.296,5.38,5.238,5.366,5.366,7233500,3
5.366,5.6,5.362,5.576,5.576,10306000,3
5.6,5.716,5.58,5.648,5.648,11239500,3
5.634,5.736,5.61,5.69,5.69,6713500,3
5.718,5.742,5.384,5.392,5.392,8551000,3
5.402,5.48,5.304,5.392,5.392,4822000,2
5.392,5.394,5.232,5.244,5.244,3618000,3
5.23,5.316,5.122,5.15,5.15,5960000,3
5.096,5.128,4.95,5.128,5.128,8108500,3
5.054,5.094,4.75,4.806,4.806,11857500,3
4.806,4.89,4.474,4.524,4.524,11399500,3
4.624,4.718,4.542,4.608,4.608,6085000,3
4.706,4.962,4.646,4.898,4.898,8225500,3
4.93,4.978,4.804,4.936,4.936,6357500,3
4.942,4.976,4.82,4.95,4.95,5399500,3
4.948,5.016,4.906,4.984,4.984,4478500,3
4.976,4.976,4.75,4.802,4.802,5242000,3
4.81,4.824,4.7,4.82,4.82,4151500,4
4.862,4.946,4.708,4.782,4.782,3539000,4
4.832,4.836,4.734,4.788,4.788,2847500,4
4.764,4.78,4.63,4.726,4.726,2560000,4
4.688,4.734,4.644,4.692,4.692,2720000,3
4.652,4.652,4.576,4.614,4.614,4475500,4
4.756,5.05,4.6,4.898,4.898,17524500,4
4.826,4.836,4.558,4.642,4.642,13178000,4
4.652,4.728,4.562,4.644,4.644,4180500,4
4.65,4.75,4.588,4.65,4.65,3172500,4
4.728,4.828,4.61,4.616,4.616,6415500,4
4.602,4.634,4.512,4.568,4.568,4768500,4
4.62,4.994,4.614,4.946,4.946,20575500,4
4.926,5.098,4.71,4.72,4.72,13092000,4
4.666,4.698,4.592,4.636,4.636,11853500,3
4.576,4.6,4.356,4.374,4.374,10323000,4
4.436,4.5,4.222,4.366,4.366,8028000,4
4.356,4.516,4.3,4.506,4.506,5276500,4
4.562,4.77,4.538,4.722,4.722,6731500,4
4.748,4.82,4.7,4.778,4.778,5256000,4
4.81,4.864,4.74,4.788,4.788,5532000,4
4.764,4.856,4.746,4.804,4.804,3316500,4
4.896,4.958,4.812,4.872,4.872,3201000,4
4.896,4.998,4.756,4.99,4.99,7900500,4
4.986,5.08,4.94,4.988,4.988,10168000,4
4.92,4.992,4.8,4.932,4.932,6999500,1
4.932,4.998,4.854,4.944,4.944,4624000,4
4.888,4.898,4.746,4.802,4.802,5085000,4
4.77,4.85,4.706,4.814,4.814,4654000,4
4.764,4.8,4.64,4.65,4.65,5830000,4
4.44,4.592,4.36,4.59,4.59,6594000,4
4.572,4.65,4.538,4.564,4.564,5848500,4
4.648,4.686,4.528,4.562,4.562,4613000,4
4.638,4.638,4.502,4.592,4.592,3439500,4
4.61,4.61,4.508,4.546,4.546,2058500,4
4.546,4.572,4.4,4.438,4.438,2914500,4
4.422,4.454,4.354,4.442,4.442,2114000,4
4.428,4.476,4.396,4.466,4.466,2311000,4
4.486,4.6,4.48,4.55,4.55,2840000,4
4.54,4.708,4.51,4.65,4.65,5290500,4
4.66,4.8,4.642,4.784,4.784,3777000,4
4.822,4.898,4.602,4.742,4.742,6116500,4
5.31,5.742,5.3,5.55,5.55,57589000,4
5.49,5.636,5.314,5.332,5.332,14324000,4
5.366,5.4,5.046,5.166,5.166,13046500,4
5.18,5.4,5.138,5.34,5.34,15904500,4
5.398,5.402,5.16,5.298,5.298,6441500,4
5.37,5.588,5.29,5.448,5.448,14051500,4
5.516,5.52,5.272,5.298,5.298,9732000,4
5.294,5.306,5.004,5.054,5.054,6847000,4
